Time,Datastream Name,Value
2022-04-04 20:29:00,Temperature,17.5155
2022-04-04 20:29:00,CO_2 concentration,650.0
2022-04-04 20:29:00,Humidity,34.563
2022-04-04 20:28:00,Temperature,17.567500000000003
2022-04-04 20:28:00,CO_2 concentration,652.5
2022-04-04 20:28:00,Humidity,34.450500000000005
2022-04-04 20:27:00,Temperature,17.503
2022-04-04 20:27:00,CO_2 concentration,657.0
2022-04-04 20:27:00,Humidity,34.503
2022-04-04 20:26:00,Temperature,17.527
2022-04-04 20:26:00,CO_2 concentration,657.5
2022-04-04 20:26:00,Humidity,34.516999999999996
2022-04-04 20:25:00,Temperature,17.5555
2022-04-04 20:25:00,CO_2 concentration,659.5
2022-04-04 20:25:00,Humidity,34.4825
2022-04-04 20:24:00,Temperature,17.5675
2022-04-04 20:24:00,CO_2 concentration,662.0
2022-04-04 20:24:00,Humidity,34.391
2022-04-04 20:23:00,Temperature,17.628999999999998
2022-04-04 20:23:00,CO_2 concentration,668.0
2022-04-04 20:23:00,Humidity,34.36450000000001
2022-04-04 20:22:00,Temperature,17.6545
2022-04-04 20:22:00,CO_2 concentration,675.0
2022-04-04 20:22:00,Humidity,34.31
2022-04-04 20:21:00,Temperature,17.601
2022-04-04 20:21:00,CO_2 concentration,681.5
2022-04-04 20:21:00,Humidity,34.385000000000005
2022-04-04 20:20:00,Temperature,17.5865
2022-04-04 20:20:00,CO_2 concentration,685.0
2022-04-04 20:20:00,Humidity,34.456
2022-04-04 20:19:00,Temperature,17.566
2022-04-04 20:19:00,CO_2 concentration,688.0
2022-04-04 20:19:00,Humidity,34.4865
2022-04-04 20:18:00,Temperature,17.5565
2022-04-04 20:18:00,CO_2 concentration,689.0
2022-04-04 20:18:00,Humidity,34.4995
2022-04-04 20:17:00,Temperature,17.573
2022-04-04 20:17:00,CO_2 concentration,690.0
2022-04-04 20:17:00,Humidity,34.445
2022-04-04 20:16:00,Temperature,17.5595
2022-04-04 20:16:00,CO_2 concentration,692.0
2022-04-04 20:16:00,Humidity,34.421499999999995
2022-04-04 20:15:00,Temperature,17.598
2022-04-04 20:15:00,CO_2 concentration,694.0
2022-04-04 20:15:00,Humidity,34.4105
2022-04-04 20:14:00,Temperature,17.698
2022-04-04 20:14:00,CO_2 concentration,696.5
2022-04-04 20:14:00,Humidity,34.2875
2022-04-04 20:13:00,Temperature,17.714
2022-04-04 20:13:00,CO_2 concentration,698.5
2022-04-04 20:13:00,Humidity,34.3315
2022-04-04 20:12:00,Temperature,17.686
2022-04-04 20:12:00,CO_2 concentration,701.0
2022-04-04 20:12:00,Humidity,34.3395
2022-04-04 20:11:00,Temperature,17.665
2022-04-04 20:11:00,CO_2 concentration,703.0
2022-04-04 20:11:00,Humidity,34.450500000000005
2022-04-04 20:10:00,Temperature,17.618
2022-04-04 20:10:00,CO_2 concentration,696.5
2022-04-04 20:10:00,Humidity,34.453
2022-04-04 20:09:00,Temperature,17.6225
2022-04-04 20:09:00,CO_2 concentration,681.0
2022-04-04 20:09:00,Humidity,34.522999999999996
2022-04-04 20:08:00,Temperature,17.594
2022-04-04 20:08:00,CO_2 concentration,643.5
2022-04-04 20:08:00,Humidity,34.596000000000004
2022-04-04 20:07:00,Temperature,17.5195
2022-04-04 20:07:00,CO_2 concentration,579.5
2022-04-04 20:07:00,Humidity,34.614000000000004
2022-04-04 20:06:00,Temperature,17.541
2022-04-04 20:06:00,CO_2 concentration,650.0
2022-04-04 20:06:00,Humidity,34.614000000000004
2022-04-04 20:05:00,Temperature,17.586
2022-04-04 20:05:00,CO_2 concentration,651.5
2022-04-04 20:05:00,Humidity,34.541
2022-04-04 20:04:00,Temperature,17.573
2022-04-04 20:04:00,CO_2 concentration,652.5
2022-04-04 20:04:00,Humidity,34.59
2022-04-04 20:03:00,Temperature,17.654
