Time,Datastream Name,Value
2022-04-04 20:30:00,Temperature,18.2855
2022-04-04 20:30:00,CO_2 concentration,617.0
2022-04-04 20:30:00,Humidity,33.088
2022-04-04 20:29:00,Temperature,18.256500000000003
2022-04-04 20:29:00,CO_2 concentration,618.0
2022-04-04 20:29:00,Humidity,32.669
2022-04-04 20:28:00,Temperature,18.320999999999998
2022-04-04 20:28:00,CO_2 concentration,622.5
2022-04-04 20:28:00,Humidity,32.566
2022-04-04 20:27:00,Temperature,18.302999999999997
2022-04-04 20:27:00,CO_2 concentration,628.0
2022-04-04 20:27:00,Humidity,32.6195
2022-04-04 20:26:00,Temperature,18.3445
2022-04-04 20:26:00,CO_2 concentration,630.5
2022-04-04 20:26:00,Humidity,32.5745
2022-04-04 20:25:00,Temperature,18.363500000000002
2022-04-04 20:25:00,CO_2 concentration,647.5
2022-04-04 20:25:00,Humidity,32.505
2022-04-04 20:24:00,Temperature,18.41
2022-04-04 20:24:00,CO_2 concentration,652.0
2022-04-04 20:24:00,Humidity,32.425
2022-04-04 20:23:00,Temperature,18.482
2022-04-04 20:23:00,CO_2 concentration,657.0
2022-04-04 20:23:00,Humidity,32.4195
2022-04-04 20:22:00,Temperature,18.509999999999998
2022-04-04 20:22:00,CO_2 concentration,663.0
2022-04-04 20:22:00,Humidity,32.269999999999996
2022-04-04 20:21:00,Temperature,18.514
2022-04-04 20:21:00,CO_2 concentration,667.0
2022-04-04 20:21:00,Humidity,32.2935
2022-04-04 20:20:00,Temperature,18.5875
2022-04-04 20:20:00,CO_2 concentration,678.5
2022-04-04 20:20:00,Humidity,32.2245
2022-04-04 20:19:00,Temperature,18.569
2022-04-04 20:19:00,CO_2 concentration,688.0
2022-04-04 20:19:00,Humidity,32.2475
2022-04-04 20:18:00,Temperature,18.5875
2022-04-04 20:18:00,CO_2 concentration,692.0
2022-04-04 20:18:00,Humidity,32.125
2022-04-04 20:17:00,Temperature,18.5915
2022-04-04 20:17:00,CO_2 concentration,695.5
2022-04-04 20:17:00,Humidity,32.259
2022-04-04 20:16:00,Temperature,18.614
2022-04-04 20:16:00,CO_2 concentration,701.0
2022-04-04 20:16:00,Humidity,32.257
2022-04-04 20:15:00,Temperature,18.576999999999998
2022-04-04 20:15:00,CO_2 concentration,704.5
2022-04-04 20:15:00,Humidity,32.343
2022-04-04 20:14:00,Temperature,18.581
2022-04-04 20:14:00,CO_2 concentration,705.0
2022-04-04 20:14:00,Humidity,32.336
2022-04-04 20:13:00,Temperature,18.597
2022-04-04 20:13:00,CO_2 concentration,707.0
2022-04-04 20:13:00,Humidity,32.4025
2022-04-04 20:12:00,Temperature,18.622500000000002
2022-04-04 20:12:00,CO_2 concentration,708.0
2022-04-04 20:12:00,Humidity,32.402
2022-04-04 20:11:00,Temperature,18.661
2022-04-04 20:11:00,CO_2 concentration,710.0
2022-04-04 20:11:00,Humidity,32.381
2022-04-04 20:10:00,Temperature,18.665
2022-04-04 20:10:00,CO_2 concentration,713.5
2022-04-04 20:10:00,Humidity,32.299499999999995
2022-04-04 20:09:00,Temperature,18.649
2022-04-04 20:09:00,CO_2 concentration,720.5
2022-04-04 20:09:00,Humidity,32.325
2022-04-04 20:08:00,Temperature,18.6545
2022-04-04 20:08:00,CO_2 concentration,723.0
2022-04-04 20:08:00,Humidity,32.394
2022-04-04 20:07:00,Temperature,18.621000000000002
2022-04-04 20:07:00,CO_2 concentration,727.5
2022-04-04 20:07:00,Humidity,32.5035
2022-04-04 20:06:00,Temperature,18.598
2022-04-04 20:06:00,CO_2 concentration,728.0
2022-04-04 20:06:00,Humidity,32.567
2022-04-04 20:05:00,Temperature,18.606
2022-04-04 20:05:00,CO_2 concentration,728.5
2022-04-04 20:05:00,Humidity,32.6305
