Time,Datastream Name,Value
2022-04-05 10:34:00,Temperature,19.494
2022-04-05 10:34:00,CO_2 concentration,554.0
2022-04-05 10:34:00,Humidity,32.510999999999996
2022-04-05 10:33:00,Temperature,19.4725
2022-04-05 10:33:00,CO_2 concentration,556.0
2022-04-05 10:33:00,Humidity,32.64
2022-04-05 10:32:00,Temperature,19.4645
2022-04-05 10:32:00,CO_2 concentration,555.0
2022-04-05 10:32:00,Humidity,32.6085
2022-04-05 10:31:00,Temperature,19.485
2022-04-05 10:31:00,CO_2 concentration,560.5
2022-04-05 10:31:00,Humidity,32.6515
2022-04-05 10:30:00,Temperature,19.473
2022-04-05 10:30:00,CO_2 concentration,561.5
2022-04-05 10:30:00,Humidity,32.687
2022-04-05 10:29:00,Temperature,19.457
2022-04-05 10:29:00,CO_2 concentration,562.5
2022-04-05 10:29:00,Humidity,32.817
2022-04-05 10:28:00,Temperature,19.45
2022-04-05 10:28:00,CO_2 concentration,563.5
2022-04-05 10:28:00,Humidity,32.8185
2022-04-05 10:27:00,Temperature,19.426000000000002
2022-04-05 10:27:00,CO_2 concentration,561.5
2022-04-05 10:27:00,Humidity,32.719
2022-04-05 10:26:00,Temperature,19.417
2022-04-05 10:26:00,CO_2 concentration,563.0
2022-04-05 10:26:00,Humidity,32.813500000000005
2022-04-05 10:25:00,Temperature,9.7025
2022-04-05 10:25:00,CO_2 concentration,5282.0
2022-04-05 10:25:00,Humidity,17.481499999999997
2022-04-05 10:24:00,Temperature,19.399
2022-04-05 10:24:00,CO_2 concentration,564.0
2022-04-05 10:24:00,Humidity,32.9405
2022-04-05 10:23:00,Temperature,19.403
2022-04-05 10:23:00,CO_2 concentration,566.5
2022-04-05 10:23:00,Humidity,33.36150000000001
2022-04-05 10:22:00,Temperature,19.3795
2022-04-05 10:22:00,CO_2 concentration,569.0
2022-04-05 10:22:00,Humidity,33.374
2022-04-05 10:21:00,Temperature,19.375
2022-04-05 10:21:00,CO_2 concentration,566.5
2022-04-05 10:21:00,Humidity,33.358999999999995
2022-04-05 10:20:00,Temperature,19.360500000000002
2022-04-05 10:20:00,CO_2 concentration,565.0
2022-04-05 10:20:00,Humidity,33.358000000000004
2022-04-05 10:19:00,Temperature,19.375
2022-04-05 10:19:00,CO_2 concentration,564.0
2022-04-05 10:19:00,Humidity,33.359
2022-04-05 10:18:00,Temperature,19.3765
2022-04-05 10:18:00,CO_2 concentration,564.5
2022-04-05 10:18:00,Humidity,33.321
2022-04-05 10:17:00,Temperature,19.386000000000003
2022-04-05 10:17:00,CO_2 concentration,567.5
2022-04-05 10:17:00,Humidity,33.3675
2022-04-05 10:16:00,Temperature,19.381
2022-04-05 10:16:00,CO_2 concentration,566.5
2022-04-05 10:16:00,Humidity,33.418000000000006
2022-04-05 10:15:00,Temperature,19.369
2022-04-05 10:15:00,CO_2 concentration,566.5
2022-04-05 10:15:00,Humidity,33.3365
2022-04-05 10:14:00,Temperature,19.386
2022-04-05 10:14:00,CO_2 concentration,568.5
2022-04-05 10:14:00,Humidity,33.331500000000005
2022-04-05 10:13:00,Temperature,19.381999999999998
2022-04-05 10:13:00,CO_2 concentration,570.0
2022-04-05 10:13:00,Humidity,33.21
2022-04-05 10:12:00,Temperature,19.398
2022-04-05 10:12:00,CO_2 concentration,568.5
2022-04-05 10:12:00,Humidity,33.2315
2022-04-05 10:11:00,Temperature,19.4195
2022-04-05 10:11:00,CO_2 concentration,570.5
2022-04-05 10:11:00,Humidity,33.2245
2022-04-05 10:10:00,Temperature,19.466
2022-04-05 10:10:00,CO_2 concentration,569.5
2022-04-05 10:10:00,Humidity,33.2325
2022-04-05 10:09:00,Temperature,19.462
2022-04-05 10:09:00,CO_2 concentration,568.5
2022-04-05 10:09:00,Humidity,33.2055
2022-04-05 10:08:00,Temperature,19.482999999999997
2022-04-05 10:08:00,CO_2 concentration,568.0
2022-04-05 10:08:00,Humidity,33.251000000000005
