Time,Datastream Name,Value
2022-04-11 21:08:00,Temperature,20.2215
2022-04-11 21:08:00,CO_2 concentration,524.0
2022-04-11 21:08:00,Humidity,29.064500000000002
2022-04-11 21:07:00,Temperature,20.236
2022-04-11 21:07:00,CO_2 concentration,522.0
2022-04-11 21:07:00,Humidity,29.0225
2022-04-11 21:06:00,Temperature,20.252499999999998
2022-04-11 21:06:00,CO_2 concentration,521.5
2022-04-11 21:06:00,Humidity,29.0355
2022-04-11 21:05:00,Temperature,20.237499999999997
2022-04-11 21:05:00,CO_2 concentration,523.5
2022-04-11 21:05:00,Humidity,28.9925
2022-04-11 21:04:00,Temperature,20.2285
2022-04-11 21:04:00,CO_2 concentration,523.0
2022-04-11 21:04:00,Humidity,29.002
2022-04-11 21:03:00,Temperature,20.2295
2022-04-11 21:03:00,CO_2 concentration,522.0
2022-04-11 21:03:00,Humidity,29.0115
2022-04-11 21:02:00,Temperature,20.259
2022-04-11 21:02:00,CO_2 concentration,518.5
2022-04-11 21:02:00,Humidity,28.985
2022-04-11 21:01:00,Temperature,20.256500000000003
2022-04-11 21:01:00,CO_2 concentration,513.0
2022-04-11 21:01:00,Humidity,28.9615
2022-04-11 21:00:00,Temperature,20.262999999999998
2022-04-11 21:00:00,CO_2 concentration,514.5
2022-04-11 21:00:00,Humidity,28.956
2022-04-11 20:59:00,Temperature,20.262
2022-04-11 20:59:00,CO_2 concentration,519.5
2022-04-11 20:59:00,Humidity,28.9305
2022-04-11 20:58:00,Temperature,20.2685
2022-04-11 20:58:00,CO_2 concentration,520.5
2022-04-11 20:58:00,Humidity,28.936
2022-04-11 20:57:00,Temperature,20.2635
2022-04-11 20:57:00,CO_2 concentration,521.5
2022-04-11 20:57:00,Humidity,28.923000000000002
2022-04-11 20:56:00,Temperature,20.252499999999998
2022-04-11 20:56:00,CO_2 concentration,524.0
2022-04-11 20:56:00,Humidity,28.907
2022-04-11 20:55:00,Temperature,20.250999999999998
2022-04-11 20:55:00,CO_2 concentration,523.0
2022-04-11 20:55:00,Humidity,28.892000000000003
2022-04-11 20:54:00,Temperature,20.2415
2022-04-11 20:54:00,CO_2 concentration,523.0
2022-04-11 20:54:00,Humidity,28.907
2022-04-11 20:53:00,Temperature,20.2635
2022-04-11 20:53:00,CO_2 concentration,520.5
2022-04-11 20:53:00,Humidity,28.822499999999998
2022-04-11 20:52:00,Temperature,20.256500000000003
2022-04-11 20:52:00,CO_2 concentration,515.0
2022-04-11 20:52:00,Humidity,28.8165
2022-04-11 20:51:00,Temperature,20.2485
2022-04-11 20:51:00,CO_2 concentration,516.0
2022-04-11 20:51:00,Humidity,28.823999999999998
2022-04-11 20:50:00,Temperature,20.2525
2022-04-11 20:50:00,CO_2 concentration,515.5
2022-04-11 20:50:00,Humidity,28.8515
2022-04-11 20:49:00,Temperature,20.2325
2022-04-11 20:49:00,CO_2 concentration,505.5
2022-04-11 20:49:00,Humidity,28.8275
2022-04-11 20:48:00,Temperature,20.241500000000002
2022-04-11 20:48:00,CO_2 concentration,504.5
2022-04-11 20:48:00,Humidity,28.79
2022-04-11 20:47:00,Temperature,20.266
2022-04-11 20:47:00,CO_2 concentration,499.5
2022-04-11 20:47:00,Humidity,28.761499999999998
2022-04-11 20:46:00,Temperature,20.2495
2022-04-11 20:46:00,CO_2 concentration,493.5
2022-04-11 20:46:00,Humidity,28.7155
2022-04-11 20:45:00,Temperature,20.264499999999998
2022-04-11 20:45:00,CO_2 concentration,492.5
2022-04-11 20:45:00,Humidity,28.692
2022-04-11 20:44:00,Temperature,20.266
2022-04-11 20:44:00,CO_2 concentration,493.5
2022-04-11 20:44:00,Humidity,28.628
2022-04-11 20:43:00,Temperature,20.2525
2022-04-11 20:43:00,CO_2 concentration,499.0
2022-04-11 20:43:00,Humidity,28.521
2022-04-11 20:42:00,Temperature,20.2725
2022-04-11 20:42:00,CO_2 concentration,497.0
2022-04-11 20:42:00,Humidity,28.4555
2022-04-11 20:41:00,Temperature,20.2725
2022-04-11 20:41:00,CO_2 concentration,498.5
2022-04-11 20:41:00,Humidity,28.3935
2022-04-11 20:40:00,Temperature,20.2925
2022-04-11 20:40:00,CO_2 concentration,503.0
2022-04-11 20:40:00,Humidity,28.3995
2022-04-11 20:39:00,Temperature,20.278
2022-04-11 20:39:00,CO_2 concentration,503.5
2022-04-11 20:39:00,Humidity,28.362000000000002
2022-04-11 20:38:00,Temperature,20.265500000000003
2022-04-11 20:38:00,CO_2 concentration,502.0
2022-04-11 20:38:00,Humidity,28.375999999999998
2022-04-11 20:37:00,Temperature,20.262999999999998
2022-04-11 20:37:00,CO_2 concentration,503.0
2022-04-11 20:37:00,Humidity,28.313499999999998
2022-04-11 20:36:00,Temperature,20.2795
2022-04-11 20:36:00,CO_2 concentration,500.5
2022-04-11 20:36:00,Humidity,28.249
2022-04-11 20:35:00,Temperature,20.2675
2022-04-11 20:35:00,CO_2 concentration,497.5
2022-04-11 20:35:00,Humidity,28.2175
2022-04-11 20:34:00,Temperature,20.255499999999998
2022-04-11 20:34:00,CO_2 concentration,495.0
2022-04-11 20:34:00,Humidity,28.180500000000002
2022-04-11 20:33:00,Temperature,20.2605
